Total of 186 directories 
     key    d_min cc_perfect pred_cc_perfect
1vjn/w1/  2.00   0.361   0.230 
1vjn/w1/  2.50   0.445   0.270 
1vjn/w1/  3.00   0.489   0.300 
1vjn/w1/  3.50   0.495   0.320 
1vjn/w1/  4.00   0.492   0.310 
1vjn/w1/  4.50   0.475   0.310 
1vjn/w1/  5.00   0.455   0.310 
1vjn/w1/  5.50   0.446   0.310 
1vjn/w1/  6.00   0.471   0.310 
1vjn/w2/  3.00   0.476   0.540 
1vjn/w2/  3.50   0.491   0.570 
1vjn/w2/  4.00   0.526   0.580 
1vjn/w2/  4.50   0.536   0.590 
1vjn/w2/  5.00   0.550   0.590 
1vjn/w2/  5.50   0.561   0.590 
1vjn/w2/  6.00   0.560   0.600 
1vjn/w3/  3.00   0.672   0.620 
1vjn/w3/  3.50   0.677   0.640 
1vjn/w3/  4.00   0.687   0.650 
1vjn/w3/  4.50   0.683   0.660 
1vjn/w3/  5.00   0.671   0.660 
1vjn/w3/  5.50   0.665   0.660 
1vjn/w3/  6.00   0.665   0.660 
1vjr/w1/  2.40   0.470   0.470 
1vjr/w1/  3.00   0.632   0.610 
1vjr/w1/  3.50   0.704   0.660 
1vjr/w1/  4.00   0.737   0.670 
1vjr/w1/  4.50   0.740   0.670 
1vjr/w1/  5.00   0.729   0.670 
1vjr/w1/  5.50   0.724   0.680 
1vjr/w1/  6.00   0.709   0.680 
1vjr/w2/  2.50   0.317  -1.000 
1vjr/w2/  3.00   0.448  -1.000 
1vjr/w2/  3.50   0.551  -1.000 
1vjr/w2/  4.00   0.613  -1.000 
1vjr/w2/  4.50   0.641  -1.000 
1vjr/w2/  5.00   0.654  -1.000 
1vjr/w2/  5.50   0.658  -1.000 
1vjr/w2/  6.00   0.663  -1.000 
1vjr/w3/  2.50   0.046  -1.000 
1vjr/w3/  3.00   0.075  -1.000 
1vjr/w3/  3.50   0.108  -1.000 
1vjr/w3/  4.00   0.127  -1.000 
1vjr/w3/  4.50   0.146  -1.000 
1vjr/w3/  5.00   0.155  -1.000 
1vjr/w3/  5.50   0.177  -1.000 
1vjr/w3/  6.00   0.179  -1.000 
1vjz/w1/  2.05   0.055   0.070 
1vjz/w1/  2.50   0.079   0.060 
1vjz/w1/  3.00   0.115   0.060 
1vjz/w1/  3.50   0.163   0.070 
1vjz/w1/  4.00   0.189   0.070 
1vjz/w1/  4.50   0.202   0.070 
1vjz/w1/  5.00   0.195   0.070 
1vjz/w1/  5.50   0.199   0.070 
1vjz/w1/  6.00   0.226   0.070 
1vjz/w2/  2.50   0.391   0.460 
1vjz/w2/  3.00   0.527   0.570 
1vjz/w2/  3.50   0.653   0.640 
1vjz/w2/  4.00   0.727   0.660 
1vjz/w2/  4.50   0.721   0.670 
1vjz/w2/  5.00   0.699   0.670 
1vjz/w2/  5.50   0.685   0.670 
1vjz/w2/  6.00   0.689   0.670 
1vjz/w3/  2.50   0.407  -1.000 
1vjz/w3/  2.50   0.407   0.400 
1vjz/w3/  3.00   0.514   0.510 
1vjz/w3/  3.50   0.634   0.580 
1vjz/w3/  4.00   0.708   0.610 
1vjz/w3/  4.50   0.710   0.610 
1vjz/w3/  5.00   0.691   0.610 
1vjz/w3/  5.50   0.663   0.610 
1vjz/w3/  6.00   0.663   0.620 
1vk4/w1/  1.91   0.635   0.600 
1vk4/w1/  2.50   0.782   0.670 
1vk4/w1/  3.00   0.792   0.680 
1vk4/w1/  3.50   0.782   0.680 
1vk4/w1/  4.00   0.785   0.690 
1vk4/w1/  4.50   0.767   0.690 
1vk4/w1/  5.00   0.758   0.690 
1vk4/w1/  5.50   0.741   0.690 
1vk4/w1/  6.00   0.723   0.690 
1vk4/w2/  2.00   0.684  -1.000 
1vk4/w2/  2.50   0.808   0.650 
1vk4/w2/  3.00   0.820   0.670 
1vk4/w2/  3.50   0.814   0.680 
1vk4/w2/  4.00   0.811   0.680 
1vk4/w2/  4.50   0.792   0.680 
1vk4/w2/  5.00   0.774   0.680 
1vk4/w2/  5.50   0.757   0.680 
1vk4/w2/  6.00   0.744   0.680 
1vkm/w1/  2.18   0.057   0.060 
1vkm/w1/  2.50   0.081   0.070 
1vkm/w1/  3.00   0.131   0.140 
1vkm/w1/  3.50   0.176   0.180 
1vkm/w1/  4.00   0.200   0.190 
1vkm/w1/  4.50   0.211   0.190 
1vkm/w1/  5.00   0.236   0.200 
1vkm/w1/  5.50   0.262   0.200 
1vkm/w1/  6.00   0.288   0.210 
1vkm/w2/  2.18   0.349   0.440 
1vkm/w2/  2.50   0.449   0.550 
1vkm/w2/  3.00   0.577   0.640 
1vkm/w2/  3.50   0.632   0.670 
1vkm/w2/  4.00   0.653   0.680 
1vkm/w2/  4.50   0.661   0.680 
1vkm/w2/  5.00   0.664   0.680 
1vkm/w2/  5.50   0.664   0.680 
1vkm/w2/  6.00   0.671   0.680 
1vkm/w3/  2.18   0.482   0.420 
1vkm/w3/  2.50   0.573   0.530 
1vkm/w3/  3.00   0.667   0.630 
1vkm/w3/  3.50   0.700   0.660 
1vkm/w3/  4.00   0.707   0.670 
1vkm/w3/  4.50   0.704   0.680 
1vkm/w3/  5.00   0.701   0.680 
1vkm/w3/  5.50   0.696   0.680 
1vkm/w3/  6.00   0.700   0.680 
1vlm/w1/  2.20   0.031   0.070 
1vlm/w1/  2.50   0.040   0.060 
1vlm/w1/  3.00   0.062   0.070 
1vlm/w1/  3.50   0.102   0.080 
1vlm/w1/  4.00   0.127   0.090 
1vlm/w1/  4.50   0.163   0.100 
1vlm/w1/  5.00   0.165   0.100 
1vlm/w1/  5.50   0.165   0.110 
