file_name, n_clusters, n_good_angles, total: asn.pdb 2 582 1369 0.748606920242
file_name, n_clusters, n_good_angles, total: asp.pdb 2 665 1369 0.792766809464
file_name, n_clusters, n_good_angles, total: cys.pdb 1 21 37 0.0156831741333
file_name, n_clusters, n_good_angles, total: gln.pdb 3 14206 50653 33.8827209473
file_name, n_clusters, n_good_angles, total: glu.pdb 3 16084 50653 34.876696825
file_name, n_clusters, n_good_angles, total: his.pdb 2 624 1369 0.939795970917
file_name, n_clusters, n_good_angles, total: ile.pdb 2 204 1369 0.557924985886
file_name, n_clusters, n_good_angles, total: leu.pdb 2 233 1369 0.593755960464
file_name, n_clusters, n_good_angles, total: met.pdb 3 11041 50653 29.636384964
file_name, n_clusters, n_good_angles, total: mse.pdb 3 50653 50653 42.2875611782
file_name, n_clusters, n_good_angles, total: phe.pdb 2 546 1369 0.962395191193
file_name, n_clusters, n_good_angles, total: pro.pdb 2 333 1369 0.490539073944
file_name, n_clusters, n_good_angles, total: ser.pdb 1 20 37 0.0158309936523
file_name, n_clusters, n_good_angles, total: thr.pdb 1 16 37 0.0157110691071
file_name, n_clusters, n_good_angles, total: trp.pdb 2 536 1369 1.26575088501
file_name, n_clusters, n_good_angles, total: tyr.pdb 2 550 1369 1.01505088806
file_name, n_clusters, n_good_angles, total: val.pdb 1 14 37 0.0143539905548
file_name, n_clusters, n_good_angles, total: arg.pdb 4 269751 1874161 1771.44014907
file_name, n_clusters, n_good_angles, total: lys.pdb 4 231424 1874161 1488.37957406
